name,AuthorityId,url,ClearanceAware
HIUGC_Discovery_GetPlaylist,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/playlists/{assetId}/versions/{versionId},TRUE
HIUGC_Discovery_GetPlaylistWithoutVersion,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/playlists/{assetId},FALSE
HIUGC_Discovery_GetPrefab,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/prefabs/{assetId}/versions/{versionId},FALSE
HIUGC_Discovery_GetPrefabWithoutVersion,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/prefabs/{assetId},FALSE
HIUGC_Discovery_GetProject,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/projects/{assetId}/versions/{versionId},FALSE
HIUGC_Discovery_GetProjectWithoutVersion,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/projects/{assetId},FALSE
HIUGC_Discovery_GetTagsInfo,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/info/tags,TRUE
HIUGC_Discovery_GetUgcGameVariant,HIUGC_Discovery_Authority_Open,https://discovery-infiniteugc.svc.halowaypoint.com/hi/ugcGameVariants/{assetId}/versions/{versionId},FALSE
HIUGC_Discovery_GetUgcGameVariantWithoutVersion,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/ugcGameVariants/{assetId},FALSE
HIUGC_Discovery_Search,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/search,FALSE
HIUGC_Discovery_SpectateByMatchId,HIUGC_Discovery_Authority,https://discovery-infiniteugc.svc.halowaypoint.com/hi/films/matches/{matchId}/spectate,FALSE
HIUGC_EndSession,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/{assetType}/{assetId}/sessions/active,FALSE
HIUGC_FavoriteAnAsset,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/hi/players/{player}/favorites/{assetType}/{assetId},FALSE
HIUGC_GetAsset,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/{assetType}/{assetId},FALSE
HIUGC_GetBlob,iUgcFiles,https://blobs-infiniteugc.svc.halowaypoint.com,FALSE
HIUGC_GetLatestAssetVersion,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/films/{assetId}/versions/latest,FALSE
HIUGC_GetLatestAssetVersionAgnostic,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/{assetType}/{assetId}/versions/latest,FALSE
HIUGC_GetPublishedVersion,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/{assetType}/{assetId}/versions/published,FALSE
HIUGC_GetSessionBlob,iUgcSessionFiles,https://s3infiniteugcsessions.blob.core.windows.net,FALSE
HIUGC_GetSpecificAssetVersion,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/{assetType}/{assetId}/versions/{versionId},FALSE
HIUGC_ListAllVersions,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/{assetType}/{assetId}/versions,FALSE
HIUGC_ListPlayerAssets,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/players/{player}/assets,FALSE
HIUGC_ListPlayerFavorites,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/hi/players/{player}/favorites/{assetType},FALSE
HIUGC_ListPlayerFavoritesAgnostic,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/hi/players/{player}/favorites,FALSE
HIUGC_PatchAssetVersion,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/{assetType}/{assetId}/versions/{versionId},FALSE
HIUGC_PublishAssetVersion,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/hi/{assetType}/{assetId}/publish/{versionId},TRUE
HIUGC_RateAnAsset,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/hi/players/{player}/ratings/{assetType}/{assetId},FALSE
HIUGC_ReportAnAsset,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/hi/players/{player}/reports/{assetType}/{assetId},FALSE
HIUGC_SpawnAsset,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/{assetType},FALSE
HIUGC_SpectateFilm,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/hi/films/{assetId}/spectate,FALSE
HIUGC_StartSessionAgnostic,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/{assetType}/{assetId}/sessions,FALSE
HIUGC_StringValidation,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/validation/strings,FALSE
HIUGC_UndeleteAsset,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/{assetType}/{assetId},FALSE
HIUGC_UndeleteVersion,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/{assetType}/{assetId}/versions/{versionId}/recover,FALSE
HIUGC_UnpublishAsset,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/hi/{assetType}/{assetId}/unpublish,FALSE
HIUGC_UploadImage,HIUGC_Authoring_Authority,https://authoring-infiniteugc.svc.halowaypoint.com/{title}/{assetType}/{assetId}/sessions/{sessionId}/Image/{filePath},FALSE
Lobby_GameConnection,lobbyamqp,https://lobby-hi.svc.halowaypoint.com/,FALSE
Lobby_GetQosServers,lobby,https://lobby-hi.svc.halowaypoint.com/titles/hi/qosservers,FALSE
Lobby_JoinLobby,lobby,https://lobby-hi.svc.halowaypoint.com/hi/lobbies/{lobbyId}/players/{player},FALSE
Lobby_LobbyConnection,lobbyamqp,https://lobby-hi.svc.halowaypoint.com/,FALSE
Lobby_LobbyConnectionPublish,lobbyamqp,https://lobby-hi.svc.halowaypoint.com/,FALSE
Lobby_LobbyConnectionSubscribe,lobbyamqp,https://lobby-hi.svc.halowaypoint.com/,FALSE
Lobby_LobbyPresence,lobby,https://lobby-hi.svc.halowaypoint.com/hi/presence,FALSE
Lobby_RegisterJoinLobbyHandle,lobby,https://lobby-hi.svc.halowaypoint.com/hi/handles/{handleId}/players/{player},FALSE
Lobby_ThirdPartyJoinHandle,lobby,https://lobby-hi.svc.halowaypoint.com/hi/lobbies/{lobbyId}/players/{player}/thirdPartyJoinHandle,FALSE
Setting_GetFeatureFlags,settings,https://settings.svc.halowaypoint.com/featureflags/{platform}/{version},FALSE
Setting_GetFlightedFeatureFlags,settings_st4,https://settings.svc.halowaypoint.com/featureflags/hi,TRUE
Settings_ActiveFlight,settings_st4,https://settings.svc.halowaypoint.com/oban/flight-configurations/titles/hi/audiences/RETAIL/active,FALSE
Settings_GetClearance,settings_st4,https://settings.svc.halowaypoint.com/oban/flight-configurations/titles/hi/audiences/{audience}/active,FALSE
Settings_GetPlayerClearance,settings_st4,https://settings.svc.halowaypoint.com/oban/flight-configurations/titles/hi/audiences/{audience}/players/{player}/active,FALSE
Settings_PlayerClearance,settings_st4,https://settings.svc.halowaypoint.com/oban/flight-configurations/titles/hi/audiences/RETAIL/players/{player}/active,FALSE
Settings_SpartanTokenV4,settings_noauth,https://settings.svc.halowaypoint.com/spartan-token,FALSE
Skill_GetMatchResult,skill,https://skill.svc.halowaypoint.com/hi/matches/{matchId}/skill,TRUE
Skill_GetPlaylistCsr,skill,https://skill.svc.halowaypoint.com/hi/playlist/{playlistId}/csrs,TRUE
Stats_BanSummary,banprocessor,https://banprocessor.svc.halowaypoint.com/hi/bansummary,FALSE
Stats_GetChallengeDecks,halostats,https://halostats.svc.halowaypoint.com/hi/players/{player}/decks,FALSE
